trade_id,user_id,date,time,transaction_type,quantity,stock_id
TXN_00001,5775818865,2024-10-01,15:36:13,buy,2331,1101
TXN_00002,6772985563,2024-01-24,15:05:43,sell,1677,1105
TXN_00003,5229455093,2025-03-28,9:41:18,buy,1052,1106
TXN_00004,5970995017,2024-04-23,10:35:33,sell,2317,1109
TXN_00005,5229455093,2024-02-20,10:21:02,buy,2030,1104
TXN_00006,7713225623,2025-03-12,11:00:37,buy,1299,1106
TXN_00007,4313201683,2025-07-05,13:26:29,sell,692,1109
TXN_00008,6772985563,2024-03-20,10:53:29,buy,1168,1109
TXN_00009,9474078998,2024-07-05,13:08:16,sell,1673,1101
TXN_00010,1402944639,2024-02-11,12:15:13,buy,2250,1104
TXN_00011,9803134690,2025-07-31,13:50:22,sell,1476,1109
TXN_00012,9862896116,2024-05-30,12:54:43,buy,345,1105
TXN_00013,4313201683,2024-06-13,11:16:14,sell,2276,1105
TXN_00014,6625608873,2024-04-25,10:17:25,buy,779,1108
TXN_00015,5775818865,2025-03-31,11:20:40,buy,1520,1108
TXN_00016,5150695988,2024-03-08,15:48:32,buy,240,1101
TXN_00017,5229455093,2025-04-02,13:01:35,sell,196,1105
TXN_00018,5150695988,2024-08-10,14:31:28,buy,602,1101
TXN_00019,1926010870,2024-11-30,15:07:33,sell,848,1110
TXN_00020,5229455093,2025-03-23,14:36:51,sell,185,1101
TXN_00021,8093597035,2024-05-23,11:49:53,buy,1947,1110
TXN_00022,1926010870,2024-01-10,12:05:58,sell,1283,1109
TXN_00023,6772985563,2024-09-06,9:06:55,buy,1816,1109
TXN_00024,5970995017,2024-07-28,13:43:48,buy,1468,1106
TXN_00025,7713225623,2024-03-08,13:34:54,sell,625,1106
TXN_00026,7713225623,2024-10-16,11:44:59,sell,2380,1102
TXN_00027,5775818865,2024-02-18,12:56:40,sell,455,1109
TXN_00028,6772985563,2025-06-23,15:01:28,buy,504,1108
TXN_00029,6625608873,2024-12-12,9:12:48,sell,184,1109
TXN_00030,1926010870,2025-01-28,10:34:02,sell,1619,1105
TXN_00031,5775818865,2024-02-08,15:54:09,buy,525,1105
TXN_00032,5229455093,2025-05-26,10:27:47,buy,1488,1110
TXN_00033,3768699384,2025-07-21,13:40:54,buy,362,1103
TXN_00034,5229455093,2025-01-28,15:59:41,sell,542,1105
